Abigail,Female
 Aemily,Female
 Emilia,Female
 Alexa,Female
 Alinea,Female
 Alina,Female
 Leena,Female
 Allyson,Female
 Allison,Female
 Alya,Female
 Aliya,Female
 Alys,Female
 Alyce,Female
 Ami,Female
 Amee,Female
 Andrea,Female
 Aendrea,Female
 Aria,Female
 Arya,Female
 Ariana,Female
 Aryana,Female
 Ariel,Female
 Arielle,Female
 Ashlene,Female
 Ashlyne,Female
 Aubree,Female
 Aubria,Female
 Bree,Female
 Audree,Female
 Audria,Female
 Dree,Female
 Aurora,Female
 Ava,Female
 Averee,Female
 Avery,Female
 Bella,Female
 Brianna,Female
 Brynn,Female
 Bryanna,Female
 Brooke,Female
 Brooklyn,Female
 Camila,Female
 Clayre,Female
 Clara,Female
 Clayra,Female
 Claire,Female
 Cloe,Female
 Cloey,Female
 Delyla,Female
 Dalia,Female
 Eliana,Female
 Elyna,Female
 Liana,Female
 Lyana,Female
 Ella,Female
 Ellie,Female
 Elli,Female
 Elyssa,Female
 Lyssie,Female
 Emma,Female
 Eva,Female
 Evylen,Female
 Faline,Female
 Genesys,Female
 Jenessa,Female
 Gina,Female
 Ginna,Female
 Janna,Female
 Grayce,Female
 Grace,Female
 Halia,Female
 Halie,Female
 Hanna,Female
 Hannah,Female
 Harper,Female
 Peria,Female
 Hazel,Female
 Azalea,Female
 Isabel,Female
 Belle,Female
 Jasmine,Female
 Jocelyn,Female
 Joyce,Female
 Celyne,Female
 Kaeli,Female
 Kathryn,Female
 Kathrinn,Female
 Cathryn,Female
 Kayla,Female
 Kym,Female
 Kymber,Female
 Layla,Female
 Laila,Female
 Lanna,Female
 Lea,Female
 Leia,Female
 Leah,Female
 Lily,Female
 Lyly,Female
 Lisbeth,Female
 Lysbeth,Female
 Luna,Female
 Loona,Female
 Madisyn,Female
 Maya,Female
 Maia,Female
 Mea,Female
 Melania,Female
 Melany,Female
 Mena,Female
 Mina,Female
 Mila,Female
 Myla,Female
 Milly,Female
 Amelia,Female
 Naomi,Female
 Nataly,Female
 Natta,Female
 Natylie,Female
 Natty,Female
 Nycole,Female
 Nicolle,Female
 Olyva,Female
 Alivia,Female
 Olivia,Female
 Penelope,Female
 Penny,Female
 Rianna,Female
 Ryanna,Female
 Ruby,Female
 Ryla,Female
 Rilie,Female
 Rylie,Female
 Samitha,Female
 Samentha,Female
 Sara,Female
 Sarah,Female
 Savanna,Female
 Scarlet,Female
 Sharlotte,Female
 Carlotta,Female
 Sophia,Female
 Stelly,Female
 Stella,Female
 Vala,Female
 Valentyna,Female
 Valea,Female
 Valerya,Female
 Valerie,Female
 Victoria,Female
 Victora,Female
 Violet,Female
 Viola,Female
 Zoe,Female
 Zoey,Female
 Zosy,Female
  Aaron,Male
 Aaryn,Male
 Abram,Male
 Bram,Male
 Abyl,Male
 Abel,Male
 Adam,Male
 Aedam,Male
 Adrian,Male
 Hadrian,Male
 Aiden,Male
 Aidyn,Male
 Alyx,Male
 Alix,Male
 Andres,Male
 Andrew,Male
 Andre,Male
 Angel,Male
 Anthony,Male
 Astin,Male
 Axel,Male
 Axyl,Male
 Benjamyn,Male
 Benjamin,Male
 Braddeus,Male
 Bradyn,Male
 Brynden,Male
 Brandyn,Male
 Bryne,Male
 Bryan,Male
 Bran,Male
 Calyb,Male
 Caleb,Male
 Camryn,Male
 Cam,Male
 Carliss,Male
 Cartyr,Male
 Cartus,Male
 Chirles,Male
 Charly,Male
 Conner,Male
 Cristian,Male
 Crystan,Male
 Damien,Male
 Damyn,Male
 Daniel,Male
 Dannel,Male
 Dann,Male
 Danny,Male
 David,Male
 Davyd,Male
 Diegon,Male
 Tiagon,Male
 Domnac,Male
 Dylan,Male
 Eli,Male
 Ely,Male
 Elias,Male
 Elyas,Male
 Elijah,Male
 Elijan,Male
 Emilian,Male
 Emynwell,Male
 Emmyn,Male
 Emmon,Male
 Eric,Male
 Eryc,Male
 Ethan,Male
 Athyn,Male
 Evan,Male
 Evyn,Male
 Ezran,Male
 Ezrus,Male
 Gabreil,Male
 Gabreal,Male
 Gael,Male
 Gayl,Male
 Gavyn,Male
 Gavin,Male
 Gray,Male
 Grasyn,Male
 Haddeus,Male
 Hudsen,Male
 Handyr,Male
 Hander,Male
 Harold,Male
 Haryld,Male
 Horus,Male
 Horace,Male
 Horyce,Male
 Hoseas,Male
 Huntyr,Male
 Han,Male
 Hynry,Male
 Henro,Male
 Iaen,Male
 Ian,Male
 Isaac,Male
 Isiah,Male
 Isaias,Male
 Ivaen,Male
 Ivan,Male
 Jacoby,Male
 Jacob,Male
 Jaeden,Male
 Jayden,Male
 Jak,Male
 Jyck,Male
 Jasyn,Male
 Jason,Male
 Jax,Male
 Jaxon,Male
 Jaymes,Male
 Iamus,Male
 Jestin,Male
 Yestin,Male
 John,Male
 Jonn,Male
 Jonath,Male
 Joathyn,Male
 Jorden,Male
 Jordyn,Male
 Joseth,Male
 Joeseph,Male
 Joshen,Male
 Goshen,Male
 Josyah,Male
 Josius,Male
 Jovan,Male
 Julian,Male
 Julyan,Male
 Kevin,Male
 Kevan,Male
 Lan,Male
 Alyn,Male
 Landon,Male
 Landyn,Male
 Lenus,Male
 Linus,Male
 Leon,Male
 Leo,Male
 Lynard,Male
 Levi,Male
 Levy,Male
 Liam,Male
 Logan,Male
 Lucan,Male
 Luc,Male
 Lucas,Male
 Lucyus,Male
 Louis,Male
 Lyncon,Male
 Lincus,Male
 Mason,Male
 Masyn,Male
 Mathew,Male
 Mattius,Male
 Matt,Male
 Maximer,Male
 Maximus,Male
 Michael,Male
 Migwell,Male
 Mither,Male
 Nathyn,Male
 Nathan,Male
 Nathynel,Male
 Nathanyel,Male
 Nicholus,Male
 Nik,Male
 Noam,Male
 Nolyn,Male
 Nolan,Male
 Olver,Male
 Olliver,Male
 Osco,Male
 Oscus,Male
 Oscar,Male
 Owyn,Male
 Owen,Male
 Remus,Male
 Jaeremy,Male
 Rian,Male
 Ryan,Male
 Robett,Male
 Robb,Male
 Roman,Male
 Romyn,Male
 Ryder,Male
 Samwell,Male
 Samuel,Male
 Sebasten,Male
 Bastien,Male
 Taegus,Male
 Santus,Male
 Theodor,Male
 Theodus,Male
 Thedoras,Male
 Thomys,Male
 Tommas,Male
 Tomm,Male
 Thom,Male
 Tophyr,Male
 Cristor,Male
 Tylor,Male
 Ty,Male
 Tylus,Male
 Victor,Male
 Vyctor,Male
 Vincent,Male
 Vyncent,Male
 Vynce,Male
 Wann,Male
 Wanny,Male
 Willam,Male
 Willem,Male
 Wytt,Male
 Xander,Male
 Alexander,Male
 Xavyer,Male
 Xavy,Male
 Havy,Male
 Zachaery,Male
 Zeke,Male
 Zeek,Male
 Ezekyel,Male
